7.545e-09,0.0011307,0.011924,0.00080678,2.1499e-08,5.729e-10,2.3751e-05,0.00075554,0.00038065,1.9701e-05,3.6968e-05,0.00047998,0.00022429,0.00058666,0.00013088,0.00088773,0.081571,0.00083636,0.00057015,1.5027e-05,2.2337e-05,0.0013519,3.0768e-05,1.903e-08,2.3354e-10
1.8401e-27,1.7282e-28,1.1536e-33,4.5782e-41,7.2178e-52,1.8766e-16,1.0843e-17,1.9772e-22,3.546e-30,6.8857e-41,2.9379e-08,3.5461e-10,7.1083e-15,2.9332e-23,1.7197e-33,0.00094851,6.5066e-05,5.4319e-10,1.0832e-17,1.6052e-28,0.036191,0.0013631,2.5733e-08,4.817e-16,4.5831e-27
9.2703e-31,1.6639e-22,1.4472e-18,1.345e-16,7.8068e-18,7.8141e-23,9.0207e-15,2.8713e-10,1.1683e-08,4.4615e-10,1.073e-17,1.0963e-10,6.9662e-06,2.7082e-05,5.0291e-06,2.0438e-16,3.806e-08,0.00052312,0.023546,0.00069563,6.1864e-18,7.2633e-10,2.1061e-05,0.00089665,1.5345e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7419e-10,1.6957e-08,1.1574e-10,6.1615e-15,1.8378e-22,1.1462e-05,0.00072186,1.6852e-05,3.3424e-10,8.2741e-18,0.0010605,0.0072695,0.00028697,7.5869e-10,8.1659e-17,1.6083e-05,0.0017334,1.8717e-05,4.4097e-10,9.4637e-18,3.8178e-10,2.7561e-08,4.9681e-10,1.3124e-14,1.36e-22
7.1086e-09,0.001127,0.011198,0.00071499,2.1098e-08,2.862e-10,2.3691e-05,0.00074508,2.1546e-05,1.4588e-09,1.8094e-14,6.2992e-10,1.4858e-05,0.00013705,1.668e-05,3.5957e-16,5.1478e-08,0.00088528,0.038585,0.001119,1.077e-17,8.4603e-10,3.2768e-05,0.0012549,2.6758e-05
1.8554e-07,0.00051611,0.0032039,0.001736,4.7363e-05,0.010181,0.0012291,0.0035303,0.059177,0.001833,0.75324,0.022279,0.055888,0.0022753,3.24e-05,0.04418,0.22192,0.0075413,0.00016802,4.7295e-09,0.002778,0.090659,0.15522,0.0052059,7.2377e-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.351e-16,3.941e-08,0.0016517,0.064085,0.002041,1.855e-17,1.1761e-09,5.1209e-05,0.0019466,0.0011971,5.8953e-22,2.162e-14,9.9568e-09,7.3498e-05,0.013757,1.2683e-28,2.1074e-17,4.7333e-10,2.3275e-05,0.00096889,2.2388e-33,3.214e-22,1.488e-14,7.2262e-10,1.644e-08
5.3906e-23,8.5274e-15,7.4675e-11,7.3525e-09,4.5144e-10,3.3504e-18,3.6181e-10,1.2239e-05,0.00049659,2.0162e-05,3.8079e-16,3.6751e-09,0.00024654,0.00075956,0.00016804,5.7065e-18,1.0053e-09,1.4595e-05,0.00061646,1.8267e-05,1.2797e-22,1.509e-14,4.6271e-10,1.9752e-08,3.1666e-10
5.6656e-10,4.8263e-05,0.00078281,0.0021041,0.0016638,2.6355e-08,0.0016421,0.048654,0.092865,0.069715,1.1617e-09,2.5608e-05,0.0026392,0.043071,0.059778,1.8751e-14,4.8778e-09,6.8407e-05,0.0031384,0.0059816,9.714e-22,4.5397e-14,1.6601e-09,8.0302e-08,9.0954e-08
